"pmid","priority","doi","title","year","journal","primary_text_source","source_markdown_path","upload_markdown_path","file_size"
"21123944","high","10.1172/jci39828","[Ramesh S.] (2010) The Journal of clinical… — Antiphospholipid antibodies promote leukocyte-endothelial cell adhesion and thrombosis in mice by antagonizing eNOS via β2GPI and apoER2.","2010","The Journal of clinical investigation","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\21123944__Ramesh_S._2010_The_Journal_of_clinical_Antiphospholipid_antibodies_promo\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_21123944.md","70864"
"22234447","high","10.1160/th11-08-0554","[Breen A.] (2012) Thrombosis and haemostasis — Complement activation in patients with isolated antiphospholipid antibodies or primary antiphospholipid syndrome.","2012","Thrombosis and haemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\22234447__Breen_A._2012_Thrombosis_and_haemostasis_Complement_activation_in_patien\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_22234447.md","3747"
"22399307","high","10.1055/s-0032-1304719","[Pengo V.] (2012) Seminars in thrombosis and… — What have we learned about antiphospholipid syndrome from patients and antiphospholipid carrier cohorts?","2012","Seminars in thrombosis and hemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\22399307__Pengo_V._2012_Seminars_in_thrombosis_and_What_have_we_learned_about_anti\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_22399307.md","7994"
"22454760","high","10.1155/2012/404815","Significant Changes in the Levels of Secreted Cytokines in Brains of Experimental Antiphospholipid Syndrome Mice","2012","Autoimmune diseases","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\22454760__Menachem_A._2012_Autoimmune_diseases_Significant_changes_in_the_levels_o\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_22454760.md","21154"
"24054056","high","10.1016/j.thromres.2013.08.015","[Brandt J.] (2013) Thrombosis research — Receptors involved in cell activation by antiphospholipid antibodies.","2013","Thrombosis research","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\24054056__Brandt_J._2013_Thrombosis_research_Receptors_involved_in_cell_activation\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_24054056.md","25040"
"24172938","high","10.1160/th13-06-0509","[Sciascia S.] (2013) Thrombosis and haemostasis — Anti-prothrombin (aPT) and anti-phosphatidylserine/prothrombin (aPS/PT) antibodies and the risk of thrombosis in the antiphospholipid syndrome. A systematic review.","2013","Thrombosis and haemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\24172938__Sciascia_S._2013_Thrombosis_and_haemostasis_Anti-prothrombin_aPT_and_ant\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_24172938.md","2570"
"24475437","high","10.12860/jnp.2013.19","[Nishimura M.] (2013) Journal of nephropathology — The NF-κB specific inhibitor DHMEQ prevents thrombus formation in a mouse model of antiphospholipid syndrome.","2013","Journal of nephropathology","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\24475437__Nishimura_M._2013_Journal_of_nephropathology_The_NF-κB_specific_inhibito\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_24475437.md","24179"
"24825863","high","10.1182/blood-2014-02-554980","[Proulle V.] (2014) Blood — Platelets are required for enhanced activation of the endothelium and fibrinogen in a mouse thrombosis model of APS.","2014","Blood","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\24825863__Proulle_V._2014_Blood_Platelets_are_required_for_enhanced_activation_of_\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_24825863.md","57637"
"25245499","high","10.1038/mp.2014.110","Imaging of activated complement using ultrasmall superparamagnetic iron oxide particles (USPIO) - conjugated vectors: an in vivo in utero non-invasive method to predict placental insufficiency and abnormal fetal brain development","2014","Molecular psychiatry","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\25245499__Girardi_G._2014_Molecular_psychiatry_Imaging_of_activated_complement_usi\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25245499.md","43619"
"25301710","high","10.1182/blood-2014-05-577569","[Ripoll M.] (2014) Blood — Changes in regulation of human monocyte proteins in response to IgG from patients with antiphospholipid syndrome.","2014","Blood","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\25301710__Ripoll_M._2014_Blood_Changes_in_regulation_of_human_monocyte_proteins_in\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25301710.md","45237"
"25469631","high","10.1111/aji.12341","Purified IgG from Patients with Obstetric but not IgG from Non-obstetric Antiphospholipid Syndrome Inhibit Trophoblast Invasion","2014","American journal of reproductive immunology (New York, N.Y. : 1989)","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\25469631__Poulton_K._2014_American_journal_of_Purified_IgG_from_patients_with_obst\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25469631.md","36401"
"25589411","high","10.1160/th14-07-0628","[Müller-Calleja N.] (2015) Thrombosis and haemostasis — Cofactor-independent antiphospholipid antibodies activate the NLRP3-inflammasome via endosomal NADPH-oxidase: implications for the antiphospholipid syndrome.","2015","Thrombosis and haemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_retry_five\25589411__Müller-Calleja_N._2015_Thrombosis_and_haemostasis_Cofactor-independent_a\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25589411.md","4498"
"25733579","high","10.1182/blood-2014-08-593624","[Tanimura K.] (2015) Blood — β2-Glycoprotein I/HLA class II complexes are novel autoantigens in antiphospholipid syndrome.","2015","Blood","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\25733579__Tanimura_K._2015_Blood_β2-Glycoprotein_I_HLA_class_II_complexes_are_nove\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25733579.md","49507"
"25874238","high","10.1155/2015/858542","“New” Antigenic Targets and Methodological Approaches for Refining Laboratory Diagnosis of Antiphospholipid Syndrome","2015","Journal of immunology research","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\25874238__Misasi_R._2015_Journal_of_immunology_research_New_antigenic_targets_and_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25874238.md","45869"
"25940537","high","10.1177/0961203315581207","Rivaroxaban in antiphospholipid syndrome (RAPS) protocol: a prospective, randomized controlled phase II/III clinical trial of rivaroxaban versus warfarin in patients with thrombotic antiphospholipid syndrome, with or without SLE","2015","Lupus","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\25940537__Cohen_H._2015_Lupus_Rivaroxaban_in_antiphospholipid_syndrome_RAPS_protoc\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_25940537.md","23827"
"26276935","high","10.1055/s-0035-1556725","[de G.] (2015) Seminars in thrombosis and… — Antiphospholipid Syndrome--Not a Noninflammatory Disease.","2015","Seminars in thrombosis and hemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\26276935__de_G._2015_Seminars_in_thrombosis_and_Antiphospholipid_Syndrome--Not_a_N\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_26276935.md","7851"
"27160365","high","10.1016/j.jaut.2016.04.008","[Bertolaccini M.] (2016) Journal of autoimmunity — Complement inhibition by hydroxychloroquine prevents placental and fetal brain abnormalities in antiphospholipid syndrome.","2016","Journal of autoimmunity","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\27160365__Bertolaccini_M._2016_Journal_of_autoimmunity_Complement_inhibition_by_hy\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27160365.md","34170"
"27264369","high","10.5152/tjh.2011.56","[Hançer V.] (2011) Turkish journal of… — ADAMTS-13 gene expression in antiphospholipid syndrome.","2011","Turkish journal of haematology : official journal of Turkish Society of Haematology","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_results\27264369__Hançer_V._2011_Turkish_journal_of_ADAMTS-13_gene_expression_in_antiphosp\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27264369.md","18467"
"27429595","high","10.1186/s12948-016-0043-2","Thrombotic risk assessment in antiphospholipid syndrome: the role of new antibody specificities and thrombin generation assay","2016","Clinical and molecular allergy : CMA","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\27429595__Sciascia_S._2016_Clinical_and_molecular_Thrombotic_risk_assessment_in_an\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27429595.md","33534"
"27463336","high","10.1371/journal.pone.0158757","Identification of a Monoclonal Antibody That Attenuates Antiphospholipid Syndrome-Related Pregnancy Complications and Thrombosis","2016","PloS one","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\27463336__Mineo_C._2016_PloS_one_Identification_of_a_Monoclonal_Antibody_That_Atte\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27463336.md","38355"
"27570089","high","10.1016/s2352-3026(16)30079-5","Rivaroxaban versus warfarin to treat patients with thrombotic antiphospholipid syndrome, with or without systemic lupus erythematosus (RAPS): a randomised, controlled, open-label, phase 2/3, non-inferiority trial","2016","The Lancet. Haematology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\27570089__Cohen_H._2016_The_Lancet._Haematology_Rivaroxaban_versus_warfarin_to_tre\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27570089.md","42185"
"27868072","high","10.1155/2016/1719720","The Role of TLR4 on B Cell Activation and Anti- β 2 GPI Antibody Production in the Antiphospholipid Syndrome","2016","Journal of immunology research","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\27868072__Cheng_S._2016_Journal_of_immunology_research_The_Role_of_TLR4_on_B_Cell_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_27868072.md","37618"
"28899804","high","10.1016/j.autrev.2017.09.004","[Sciascia S.] (2017) Autoimmunity reviews — Can we withdraw anticoagulation in patients with antiphospholipid syndrome after seroconvertion?","2017","Autoimmunity reviews","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\28899804__Sciascia_S._2017_Autoimmunity_reviews_Can_we_withdraw_anticoagulation_in\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_28899804.md","29874"
"28931754","high","10.1172/jci.insight.93897","[Knight S.] (2017) JCI insight — Activated signature of antiphospholipid syndrome neutrophils reveals potential therapeutic target.","2017","JCI insight","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\28931754__Knight_S._2017_JCI_insight_Activated_signature_of_antiphospholipid_syndr\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_28931754.md","62099"
"29971066","high","10.3389/fimmu.2018.01388","Pathogenic Role of Complement in Antiphospholipid Syndrome and Therapeutic Implications","2018","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\29971066__Tedesco_F._2018_Frontiers_in_immunology_Pathogenic_Role_of_Complement_in\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_29971066.md","28355"
"30323817","high","10.3389/fimmu.2018.02244","Antiphospholipid Antibodies to Domain I of Beta-2-Glycoprotein I Show Different Subclass Predominance in Comparison to Antibodies to Whole Beta-2-glycoprotein I","2018","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\30323817__McDonnell_T._2018_Frontiers_in_immunology_Antiphospholipid_Antibodies_to\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_30323817.md","24355"
"30508199","high","10.1093/rheumatology/key340","[Ohnishi N.] (2019) Rheumatology (Oxford, England) — Efficacy of dual antiplatelet therapy for preventing recurrence of arterial thrombosis in patients with antiphospholipid syndrome.","2019","Rheumatology (Oxford, England)","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\30508199__Ohnishi_N._2019_Rheumatology_Oxford_England_Efficacy_of_dual_antiplatele\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_30508199.md","20423"
"31015489","high","10.1038/s41467-019-09801-x","Adenosine receptor agonism protects against NETosis and thrombosis in antiphospholipid syndrome","2019","Nature communications","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\31015489__Ali_A._2019_Nature_communications_Adenosine_receptor_agonism_protects_ag\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31015489.md","47871"
"31040845","high","10.3389/fimmu.2019.00764","New Biomarkers for Atherothrombosis in Antiphospholipid Syndrome: Genomics and Epigenetics Approaches","2019","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\31040845__Lopez-Pedrera_C._2019_Frontiers_in_immunology_New_Biomarkers_for_Atherot\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31040845.md","67579"
"31134062","high","10.3389/fimmu.2019.00941","Cardiac Manifestations of Antiphospholipid Syndrome With Focus on Its Primary Form","2019","Frontiers in immunology","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\31134062__Kolitz_T._2019_Frontiers_in_immunology_Cardiac_Manifestations_of_Antipho\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31134062.md","44070"
"31434703","high","10.1182/blood.2019001530","[Müller-Calleja N.] (2019) Blood — Tissue factor pathway inhibitor primes monocytes for antiphospholipid antibody-induced thrombosis.","2019","Blood","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\31434703__Müller-Calleja_N._2019_Blood_Tissue_factor_pathway_inhibitor_primes_mono\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31434703.md","51162"
"31471128","high","10.1016/j.blre.2019.100610","The role of beta-2-glycoprotein I in health and disease associating structure with function: More than just APS","2019","Blood reviews","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\31471128__McDonnell_T._2019_Blood_reviews_The_role_of_beta-2-glycoprotein_I_in_hea\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31471128.md","63547"
"31624789","high","10.1002/rth2.12245","Ruling out lupus anticoagulants with mixing test–specific cutoff assessment and the index of circulating anticoagulant","2019","Research and practice in thrombosis and haemostasis","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\31624789__Kumano_O._2019_Research_and_practice_in_Ruling_out_lupus_anticoagulants_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31624789.md","26152"
"31751406","high","10.1371/journal.pone.0225463","Liquid Chromatography/Mass Spectrometry based serum metabolomics study on recurrent abortion women with antiphospholipid syndrome","2019","PloS one","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\31751406__Zhang_L._2019_PloS_one_Liquid_Chromatography_Mass_Spectrometry_based_ser\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31751406.md","19357"
"31808842","high","10.1182/hematology.2019000073","[Sevim E.] (2019) Hematology. American Society… — Is there a role for immunosuppression in antiphospholipid syndrome?","2019","Hematology. American Society of Hematology. Education Program","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\31808842__Sevim_E._2019_Hematology._American_Society_Is_there_a_role_for_immunosup\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_31808842.md","34447"
"32085759","high","10.1186/s13075-020-2131-4","“Non-criteria” antiphospholipid antibodies add value to antiphospholipid syndrome diagnoses in a large Chinese cohort","2020","Arthritis research & therapy","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\32085759__Liu_T._2020_Arthritis_research_therapy_Non-criteria_antiphospholipid_ant\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_32085759.md","33066"
"32346486","high","10.1186/s40814-020-00594-1","A single-arm feasibility cohort study of rivaroxaban in antiphospholipid syndrome","2020","Pilot and feasibility studies","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\32346486__Legault_K._2020_Pilot_and_feasibility_studies_A_single-arm_feasibility_c\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_32346486.md","26493"
"32491304","high","10.20452/pamw.15415","[Calcaterra I.] (2020) Polish archives of internal… — Cardiovascular disease and antiphospholipid syndrome: how to predict and how to treat?","2020","Polish archives of internal medicine","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\32491304__Calcaterra_I._2020_Polish_archives_of_internal_Cardiovascular_disease_an\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_32491304.md","40565"
"32518155","high","10.1074/jbc.ra120.013939","[Ruben E.] (2020) The Journal of biological… — The J-elongated conformation of β2-glycoprotein I predominates in solution: implications for our understanding of antiphospholipid syndrome.","2020","The Journal of biological chemistry","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_retry_five\32518155__Ruben_E._2020_The_Journal_of_biological_The_J-elongated_conformation_of_\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_32518155.md","47698"
"32696448","high","10.1055/s-0040-1714653","[Chayoua W.] (2020) Thrombosis and haemostasis — Is There an Additional Value in Detecting Anticardiolipin and Anti-β2 glycoprotein I IgA Antibodies in the Antiphospholipid Syndrome?","2020","Thrombosis and haemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\32696448__Chayoua_W._2020_Thrombosis_and_haemostasis_Is_There_an_Additional_Value_\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_32696448.md","12134"
"32735839","high","10.1016/s2352-3026(20)30116-2","[Cohen H.] (2020) The Lancet. Haematology — Management of anticoagulant-refractory thrombotic antiphospholipid syndrome.","2020","The Lancet. Haematology","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\32735839__Cohen_H._2020_The_Lancet._Haematology_Management_of_anticoagulant-refrac\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_32735839.md","41635"
"33100166","high","10.1177/0961203320950461","16th International Congress on Antiphospholipid Antibodies Task Force Report on Antiphospholipid Syndrome Treatment Trends","2020","Lupus","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\33100166__Cohen_H._2020_Lupus_16th_International_Congress_on_Antiphospholipid_Anti\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_33100166.md","71132"
"33124581","high","10.55563/clinexprheumatol/cc5taf","[Agmon-Levin N.] (2020) Clinical and experimental… — Rituximab for refractory manifestations of the antiphospholipid syndrome: a multicentre Israeli experience.","2020","Clinical and experimental rheumatology","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\33124581__Agmon-Levin_N._2020_Clinical_and_experimental_Rituximab_for_refractory_m\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_33124581.md","29097"
"33421291","high","10.1111/jth.15241","Anti‐β2‐glycoprotein I and anti‐prothrombin antibodies cause lupus anticoagulant through different mechanisms of action","2021","Journal of thrombosis and haemostasis : JTH","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\33421291__Noordermeer_T._2021_Journal_of_thrombosis_and_Anti-β2-glycoprotein_I_and\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_33421291.md","38858"
"33598471","high","10.3389/fmed.2021.621590","Incidence of a First Thrombo-Embolic Event in Patients With Systemic Lupus Erythematosus and Anti-phosphatidylserine/prothrombin Antibodies: A Prospective Study","2021","Frontiers in medicine","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\33598471__Sciascia_S._2021_Frontiers_in_medicine_Incidence_of_a_First_Thrombo-Embo\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_33598471.md","18916"
"33633190","high","10.1038/s41598-021-84021-2","Specific domain V reduction of beta-2-glycoprotein I induces protein flexibility and alters pathogenic antibody binding","2021","Scientific reports","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\33633190__Buchholz_I._2021_Scientific_reports_Specific_domain_V_reduction_of_beta-\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_33633190.md","38083"
"33641242","high","10.1002/pro.4054","Cardiolipin interacts with beta‐2‐glycoprotein I and forms an open conformation–Mechanisms analyzed using hydrogen/deuterium exchange","2021","Protein science : a publication of the Protein Society","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\33641242__Tang_K._2021_Protein_science_a_Cardiolipin_interacts_with_beta-2-glycopr\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_33641242.md","38026"
"34003972","high","10.1093/rheumatology/keab452","Cognitive dysfunction and associated neuroimaging biomarkers in antiphospholipid syndrome: a systematic review","2021","Rheumatology (Oxford, England)","xml_markdown","D:\科研\SH Science Group\综述文献打分\library\processed\34003972__Donnellan_C._2021_Rheumatology_Oxford_England_Cognitive_dysfunction_and_\article.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_34003972.md","31141"
