"pmid","priority","doi","title","year","journal","knowhere_job_id","knowhere_page_count","knowhere_credits_spent","upload_markdown_path","file_size"
"22399307","high","10.1055/s-0032-1304719","[Pengo V.] (2012) Seminars in thrombosis and… — What have we learned about antiphospholipid syndrome from patients and antiphospholipid carrier cohorts?","2012","Seminars in thrombosis and hemostasis","job_a90e3917df08","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_22399307.md","7994"
"24054056","high","10.1016/j.thromres.2013.08.015","[Brandt J.] (2013) Thrombosis research — Receptors involved in cell activation by antiphospholipid antibodies.","2013","Thrombosis research","job_394f78343bcc","7","0.0105","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_24054056.md","25040"
"24172938","high","10.1160/th13-06-0509","[Sciascia S.] (2013) Thrombosis and haemostasis — Anti-prothrombin (aPT) and anti-phosphatidylserine/prothrombin (aPS/PT) antibodies and the risk of thrombosis in the antiphospholipid syndrome. A systematic review.","2013","Thrombosis and haemostasis","job_74c2750d026d","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_24172938.md","2570"
"24475437","high","10.12860/jnp.2013.19","[Nishimura M.] (2013) Journal of nephropathology — The NF-κB specific inhibitor DHMEQ prevents thrombus formation in a mouse model of antiphospholipid syndrome.","2013","Journal of nephropathology","job_9a425503808b","8","0.012","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_24475437.md","24179"
"24825863","high","10.1182/blood-2014-02-554980","[Proulle V.] (2014) Blood — Platelets are required for enhanced activation of the endothelium and fibrinogen in a mouse thrombosis model of APS.","2014","Blood","job_b3aef35c3844","12","0.018","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_24825863.md","57637"
"25301710","high","10.1182/blood-2014-05-577569","[Ripoll M.] (2014) Blood — Changes in regulation of human monocyte proteins in response to IgG from patients with antiphospholipid syndrome.","2014","Blood","job_201eff862e17","9","0.0135","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_25301710.md","45237"
"25589411","high","10.1160/th14-07-0628","[Müller-Calleja N.] (2015) Thrombosis and haemostasis — Cofactor-independent antiphospholipid antibodies activate the NLRP3-inflammasome via endosomal NADPH-oxidase: implications for the antiphospholipid syndrome.","2015","Thrombosis and haemostasis","job_3879fde78a1a","5","0.0075","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_25589411.md","4498"
"25733579","high","10.1182/blood-2014-08-593624","[Tanimura K.] (2015) Blood — β2-Glycoprotein I/HLA class II complexes are novel autoantigens in antiphospholipid syndrome.","2015","Blood","job_d4c3b60fcf0a","10","0.015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_25733579.md","49507"
"26276935","high","10.1055/s-0035-1556725","[de G.] (2015) Seminars in thrombosis and… — Antiphospholipid Syndrome--Not a Noninflammatory Disease.","2015","Seminars in thrombosis and hemostasis","job_0e05a6610c74","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_26276935.md","7851"
"27160365","high","10.1016/j.jaut.2016.04.008","[Bertolaccini M.] (2016) Journal of autoimmunity — Complement inhibition by hydroxychloroquine prevents placental and fetal brain abnormalities in antiphospholipid syndrome.","2016","Journal of autoimmunity","job_416c163149ad","39","0.0585","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_27160365.md","34170"
"27264369","high","10.5152/tjh.2011.56","[Hançer V.] (2011) Turkish journal of… — ADAMTS-13 gene expression in antiphospholipid syndrome.","2011","Turkish journal of haematology : official journal of Turkish Society of Haematology","job_8148125adffe","6","0.009","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_27264369.md","18467"
"28899804","high","10.1016/j.autrev.2017.09.004","[Sciascia S.] (2017) Autoimmunity reviews — Can we withdraw anticoagulation in patients with antiphospholipid syndrome after seroconvertion?","2017","Autoimmunity reviews","job_954be5cc6956","22","0.033","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_28899804.md","29874"
"28931754","high","10.1172/jci.insight.93897","[Knight S.] (2017) JCI insight — Activated signature of antiphospholipid syndrome neutrophils reveals potential therapeutic target.","2017","JCI insight","job_7177e0b70b4c","13","0.0195","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_28931754.md","62099"
"30508199","high","10.1093/rheumatology/key340","[Ohnishi N.] (2019) Rheumatology (Oxford, England) — Efficacy of dual antiplatelet therapy for preventing recurrence of arterial thrombosis in patients with antiphospholipid syndrome.","2019","Rheumatology (Oxford, England)","job_7734fae40d82","22","0.033","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_30508199.md","20423"
"31434703","high","10.1182/blood.2019001530","[Müller-Calleja N.] (2019) Blood — Tissue factor pathway inhibitor primes monocytes for antiphospholipid antibody-induced thrombosis.","2019","Blood","job_a04182596661","13","0.0195","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_31434703.md","51162"
"31808842","high","10.1182/hematology.2019000073","[Sevim E.] (2019) Hematology. American Society… — Is there a role for immunosuppression in antiphospholipid syndrome?","2019","Hematology. American Society of Hematology. Education Program","job_a9dc41639636","7","0.0105","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_31808842.md","34447"
"32491304","high","10.20452/pamw.15415","[Calcaterra I.] (2020) Polish archives of internal… — Cardiovascular disease and antiphospholipid syndrome: how to predict and how to treat?","2020","Polish archives of internal medicine","job_298e6c966dcd","10","0.015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_32491304.md","40565"
"32518155","high","10.1074/jbc.ra120.013939","[Ruben E.] (2020) The Journal of biological… — The J-elongated conformation of β2-glycoprotein I predominates in solution: implications for our understanding of antiphospholipid syndrome.","2020","The Journal of biological chemistry","job_d27da8da8098","26","0.039","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_32518155.md","47698"
"32696448","high","10.1055/s-0040-1714653","[Chayoua W.] (2020) Thrombosis and haemostasis — Is There an Additional Value in Detecting Anticardiolipin and Anti-β2 glycoprotein I IgA Antibodies in the Antiphospholipid Syndrome?","2020","Thrombosis and haemostasis","job_779937387c93","3","0.0045","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_32696448.md","12134"
"32735839","high","10.1016/s2352-3026(20)30116-2","[Cohen H.] (2020) The Lancet. Haematology — Management of anticoagulant-refractory thrombotic antiphospholipid syndrome.","2020","The Lancet. Haematology","job_5db9007aacb2","28","0.042","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_32735839.md","41635"
"33124581","high","10.55563/clinexprheumatol/cc5taf","[Agmon-Levin N.] (2020) Clinical and experimental… — Rituximab for refractory manifestations of the antiphospholipid syndrome: a multicentre Israeli experience.","2020","Clinical and experimental rheumatology","job_37d2deceb8da","7","0.0105","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_33124581.md","29097"
"34192956","high","10.1177/09612033211021154","[Sayar Z.] (2021) Lupus — Coexistent antiphospholipid syndrome and myeloproliferative neoplasm.","2021","Lupus","job_ac341f57360a","22","0.033","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_34192956.md","25901"
"34261151","high","10.1055/s-0041-1730357","[Szabó G.] (2021) Seminars in thrombosis and… — Laboratory Approaches to Test the Function of Antiphospholipid Antibodies.","2021","Seminars in thrombosis and hemostasis","job_2c8c39cff7f6","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_34261151.md","7956"
"36842350","high","10.1016/j.jstrokecerebrovasdis.2023.107034","[Estévez M.] (2023) Journal of stroke and… — Extra-criteria antiphospholipid antibodies in patients with small vessel brain lesions and clinical manifestations associated with antiphospholipid syndrome.","2023","Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association","job_3d59302bbcfa","21","0.0315","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_36842350.md","27081"
"37290588","high","10.1016/j.jtha.2023.05.024","[Noordermeer T.] (2023) Journal of thrombosis and… — Anti-β2-glycoprotein I and anti-phosphatidylserine/prothrombin antibodies interfere with cleavage of factor V(a) by activated protein C.","2023","Journal of thrombosis and haemostasis : JTH","job_ea2ce26eaf65","10","0.015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_37290588.md","42309"
"39463231","high","10.24976/discov.med.202436189.195","[Di P.] (2024) Discovery medicine — HERV-Derived Syncytin-1 and Syncytin-2 as Sources of Linear and Discontinuous Epitopes in Antiphospholipid Syndrome: A Pivotal Computational Study.","2024","Discovery medicine","job_36cf9af0c607","21","0.0315","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_39463231.md","86418"
"40878676","high","10.1161/circulationaha.125.073552","[Shi H.] (2025) Circulation — Microvascular Endothelial Cells License APS Vasculopathy Through YAP1- and CCN2-Mediated Signaling.","2025","Circulation","job_9f39d9297d7d","26","0.039","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_40878676.md","44178"
"41630553","high","10.1515/cclm-2025-1565","[Hoxha A.] (2026) Clinical chemistry and… — Antiphosphatidylserine/prothrombin antibodies define a high-risk antiphospholipid syndrome profile associated with organ damage.","2026","Clinical chemistry and laboratory medicine","job_4372fea06732","9","0.0135","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_41630553.md","38351"
"11830421","medium","10.1136/ard.61.3.195","[Espinosa G.] (2002) Annals of the rheumatic… — The lung in the antiphospholipid syndrome.","2002","Annals of the rheumatic diseases","job_d82f6d51cd02","4","0.006","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_11830421.md","18824"
"16449315","medium","10.1136/ard.2005.045237","[de B.] (2006) Annals of the rheumatic… — Annexin A5 polymorphism (-1C-->T) and the presence of anti-annexin A5 antibodies in the antiphospholipid syndrome.","2006","Annals of the rheumatic diseases","job_2f87a2c6b952","5","0.0075","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_16449315.md","28572"
"22161465","medium","10.1055/s-0031-1293206","[Ernest M.] (2011) Seminars in reproductive… — Obstetric antiphospholipid syndrome: an update on pathophysiology and management.","2011","Seminars in reproductive medicine","job_3b65172f9ac1","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_22161465.md","4882"
"26000103","medium","10.1007/s13317-010-0004-6","[Espinosa G.] (2010) Auto- immunity highlights — Management of the antiphospholipid syndrome.","2010","Auto- immunity highlights","job_f215fdbad4c0","8","0.012","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_26000103.md","30838"
"27652601","medium","10.1055/s-0036-1592336","[Schreiber K.] (2016) Seminars in thrombosis and… — Pregnancy and Antiphospholipid Syndrome.","2016","Seminars in thrombosis and hemostasis","job_f5a8aa199f67","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_27652601.md","7836"
"28129662","medium","10.1055/s-0036-1597286","[Sacharidou A.] (2017) Seminars in thrombosis and… — New Insights in the Pathophysiology of Antiphospholipid Syndrome.","2017","Seminars in thrombosis and hemostasis","job_363cca107c26","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_28129662.md","7884"
"28278524","medium","10.1055/s-0036-1597282","[Chighizola C.] (2017) Seminars in thrombosis and… — Management of Thrombotic Antiphospholipid Syndrome.","2017","Seminars in thrombosis and hemostasis","job_577acd1d1c83","8","0.012","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_28278524.md","39108"
"32458245","medium","10.1007/s10067-020-05183-4","[Rahman A.] (2020) Clinical rheumatology — Management of antiphospholipid syndrome.","2020","Clinical rheumatology","job_91d1510f04e1","4","0.006","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_32458245.md","12759"
"35675831","medium","10.1055/s-0042-1744364","[Devreese J.] (2022) Seminars in thrombosis and… — Solid Phase Assays for Antiphospholipid Antibodies.","2022","Seminars in thrombosis and hemostasis","job_9bc0fef4be0a","11","0.0165","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_35675831.md","48903"
